YAL069W	chrI	335	649	NaN
YAL068W-A	chrI	538	792	NaN
TEL01L-XC	chrI	801	337	NaN
YAL068C	chrI	2169	1807	NaN
YAL067W-A	chrI	2480	2707	NaN
YAL067C	chrI	9016	7235	7056
YAL066W	chrI	10091	10399	NaN
YAL065C	chrI	11951	11565	NaN
YAL064W-B	chrI	12046	12426	12182
YAL064C-A	chrI	13743	13363	12945
YAL064W	chrI	21566	21850	22250
YAL063C-A	chrI	22685	22395	22045
YAL063C	chrI	27968	24000	23926
YAL062W	chrI	31567	32940	31601
YAL061W	chrI	33448	34701	34871
YAL060W	chrI	35155	36303	36418
YAL059W	chrI	36509	37147	37266
YAL059C-A	chrI	36918	36496	NaN
YAL058W	chrI	37464	38972	39020
YAL056C-A	chrI	39046	38696	NaN
YAL056W	chrI	39259	41901	40591
YAL055W	chrI	42177	42719	42337
YAL054C	chrI	45022	42881	45003
YAL053W	chrI	45899	48250	48318
YAL051W	chrI	48564	51707	51856
YAL049C	chrI	52595	51855	51777
YAL047W-A	chrI	54584	54913	NaN
YAL048C	chrI	54789	52801	54933
YAL047C	chrI	56857	54989	NaN
YAL046C	chrI	57385	57029	NaN
YAL044W-A	chrI	57518	57850	58007
YAL045C	chrI	57796	57488	NaN
YAL044C	chrI	58462	57950	57866
YAL043C	chrI	61052	58695	58619
YAL042W	chrI	61316	62563	62659
YAL042C-A	chrI	61608	61231	NaN
YAL041W	chrI	62840	65404	65466
YAL040C	chrI	67520	65778	67131
YAL039C	chrI	69525	68716	68649
YAL038W	chrI	71786	73288	73313
YAL037C-B	chrI	73300	72326	NaN
YAL037C-A	chrI	73518	73426	73362
YAL037W	chrI	74020	74823	73523
YAL036C	chrI	76152	75043	NaN
YAL035W	chrI	76427	79435	77093
YAL034W-A	chrI	79718	80587	80676
YAL034C-B	chrI	79842	79489	NaN
YAL034C	chrI	81951	80710	80596
YAL033W	chrI	82706	83227	83346
YAL032C	chrI	84474	83335	83211
YAL031W-A	chrI	84669	84977	NaN
YAL031C	chrI	87031	84749	85383
YAL030W	chrI	87286	87752	87859
YAL029C	chrI	92270	87855	87757
YAL028W	chrI	92900	94486	94532
YAL027W	chrI	94687	95472	95404
YAL026C-A	chrI	95823	95386	NaN
YAL026C	chrI	99697	95630	95600
YAL025C	chrI	101145	100225	100520
YAL024C	chrI	105872	101565	104360
YAL023C	chrI	108551	106272	106145
YAL022C	chrI	110430	108877	108835
YAL021C	chrI	113359	110846	110730
YAL019W-A	chrI	114250	114819	NaN
YAL020C	chrI	114615	113614	113542
YAL019W	chrI	114919	118314	118310
YAL018C	chrI	119541	118564	119769
YAL017W	chrI	120225	124295	123191
YAL016C-B	chrI	124492	124307	NaN
YAL016W	chrI	124879	126786	126874
YAL016C-A	chrI	125069	124755	NaN
YAL015C	chrI	128102	126903	126774
YAL014C	chrI	129019	128252	128208
YAL013W	chrI	129270	130487	130588
YAL012W	chrI	130799	131983	132088
YAL011W	chrI	132199	134076	133422
YAL010C	chrI	135665	134184	134007
YAL009W	chrI	135854	136633	136726
YAL008W	chrI	136914	137510	137685
YAL007C	chrI	138345	137698	137562
YAL004W	chrI	140760	141407	NaN
YAL005C	chrI	141431	139503	141273
YAL003W	chrI	142174	143160	143378
YAL002W	chrI	143707	147531	147651
YAL001C	chrI	151166	147594	148048
YAR002W	chrI	152257	153876	153974
YAR002C-A	chrI	154724	154065	153888
YAR003W	chrI	155005	156285	156862
YAR007C	chrI	158619	156754	156681
YAR008W	chrI	158966	159793	159288
YAR014C	chrI	168871	166742	166564
YAR015W	chrI	169375	170295	170389
YAR018C	chrI	171703	170396	170300
YAR019W-A	chrI	174998	175330	NaN
YAR019C	chrI	175135	172211	172152
YAR020C	chrI	177023	176856	177009
YAR023C	chrI	179820	179281	179227
YAR027W	chrI	183770	184477	184653
YAR028W	chrI	184892	185596	185790
YAR029W	chrI	186321	186545	186750
